images,labels,dimm_locations,dimm_temperatures,dimm_voltages,measurement_num,num_labels
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/30/1.3/pat0/delta_a_30_1.3_pat0_grayscale_7_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/30/1.3/pat1/delta_a_30_1.3_pat1_grayscale_7_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/30/1.3/patm/delta_a_30_1.3_patm_grayscale_7_.png']",delta,a,30,1.3,6,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/30/1.3/pat0/delta_a_30_1.3_pat0_grayscale_8_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/30/1.3/pat1/delta_a_30_1.3_pat1_grayscale_8_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/30/1.3/patm/delta_a_30_1.3_patm_grayscale_8_.png']",delta,a,30,1.3,7,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/30/1.3/pat0/delta_a_30_1.3_pat0_grayscale_9_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/30/1.3/pat1/delta_a_30_1.3_pat1_grayscale_9_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/30/1.3/patm/delta_a_30_1.3_patm_grayscale_9_.png']",delta,a,30,1.3,8,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/30/1.3/pat0/delta_a_30_1.3_pat0_grayscale_10_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/30/1.3/pat1/delta_a_30_1.3_pat1_grayscale_10_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/30/1.3/patm/delta_a_30_1.3_patm_grayscale_10_.png']",delta,a,30,1.3,9,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat0/delta_a_50_1.5_pat0_grayscale_1_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat1/delta_a_50_1.5_pat1_grayscale_1_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/patm/delta_a_50_1.5_patm_grayscale_1_.png']",delta,a,50,1.5,0,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat0/delta_a_50_1.5_pat0_grayscale_2_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat1/delta_a_50_1.5_pat1_grayscale_2_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/patm/delta_a_50_1.5_patm_grayscale_2_.png']",delta,a,50,1.5,1,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat0/delta_a_50_1.5_pat0_grayscale_3_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat1/delta_a_50_1.5_pat1_grayscale_3_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/patm/delta_a_50_1.5_patm_grayscale_3_.png']",delta,a,50,1.5,2,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat0/delta_a_50_1.5_pat0_grayscale_4_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat1/delta_a_50_1.5_pat1_grayscale_4_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/patm/delta_a_50_1.5_patm_grayscale_4_.png']",delta,a,50,1.5,3,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat0/delta_a_50_1.5_pat0_grayscale_5_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat1/delta_a_50_1.5_pat1_grayscale_5_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/patm/delta_a_50_1.5_patm_grayscale_5_.png']",delta,a,50,1.5,4,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat0/delta_a_50_1.5_pat0_grayscale_6_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat1/delta_a_50_1.5_pat1_grayscale_6_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/patm/delta_a_50_1.5_patm_grayscale_6_.png']",delta,a,50,1.5,5,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat0/delta_a_50_1.5_pat0_grayscale_7_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat1/delta_a_50_1.5_pat1_grayscale_7_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/patm/delta_a_50_1.5_patm_grayscale_7_.png']",delta,a,50,1.5,6,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat0/delta_a_50_1.5_pat0_grayscale_8_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat1/delta_a_50_1.5_pat1_grayscale_8_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/patm/delta_a_50_1.5_patm_grayscale_8_.png']",delta,a,50,1.5,7,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat0/delta_a_50_1.5_pat0_grayscale_9_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat1/delta_a_50_1.5_pat1_grayscale_9_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/patm/delta_a_50_1.5_patm_grayscale_9_.png']",delta,a,50,1.5,8,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat0/delta_a_50_1.5_pat0_grayscale_10_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/pat1/delta_a_50_1.5_pat1_grayscale_10_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.5/patm/delta_a_50_1.5_patm_grayscale_10_.png']",delta,a,50,1.5,9,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat0/delta_a_50_1.3_pat0_grayscale_1_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat1/delta_a_50_1.3_pat1_grayscale_1_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/patm/delta_a_50_1.3_patm_grayscale_1_.png']",delta,a,50,1.3,0,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat0/delta_a_50_1.3_pat0_grayscale_2_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat1/delta_a_50_1.3_pat1_grayscale_2_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/patm/delta_a_50_1.3_patm_grayscale_2_.png']",delta,a,50,1.3,1,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat0/delta_a_50_1.3_pat0_grayscale_3_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat1/delta_a_50_1.3_pat1_grayscale_3_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/patm/delta_a_50_1.3_patm_grayscale_3_.png']",delta,a,50,1.3,2,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat0/delta_a_50_1.3_pat0_grayscale_4_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat1/delta_a_50_1.3_pat1_grayscale_4_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/patm/delta_a_50_1.3_patm_grayscale_4_.png']",delta,a,50,1.3,3,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat0/delta_a_50_1.3_pat0_grayscale_5_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat1/delta_a_50_1.3_pat1_grayscale_5_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/patm/delta_a_50_1.3_patm_grayscale_5_.png']",delta,a,50,1.3,4,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat0/delta_a_50_1.3_pat0_grayscale_6_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat1/delta_a_50_1.3_pat1_grayscale_6_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/patm/delta_a_50_1.3_patm_grayscale_6_.png']",delta,a,50,1.3,5,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat0/delta_a_50_1.3_pat0_grayscale_7_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat1/delta_a_50_1.3_pat1_grayscale_7_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/patm/delta_a_50_1.3_patm_grayscale_7_.png']",delta,a,50,1.3,6,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat0/delta_a_50_1.3_pat0_grayscale_8_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat1/delta_a_50_1.3_pat1_grayscale_8_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/patm/delta_a_50_1.3_patm_grayscale_8_.png']",delta,a,50,1.3,7,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat0/delta_a_50_1.3_pat0_grayscale_9_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat1/delta_a_50_1.3_pat1_grayscale_9_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/patm/delta_a_50_1.3_patm_grayscale_9_.png']",delta,a,50,1.3,8,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat0/delta_a_50_1.3_pat0_grayscale_10_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/pat1/delta_a_50_1.3_pat1_grayscale_10_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/a/50/1.3/patm/delta_a_50_1.3_patm_grayscale_10_.png']",delta,a,50,1.3,9,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat0/delta_e_20_1.5_pat0_grayscale_1_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat1/delta_e_20_1.5_pat1_grayscale_1_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/patm/delta_e_20_1.5_patm_grayscale_1_.png']",delta,e,20,1.5,0,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat0/delta_e_20_1.5_pat0_grayscale_2_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat1/delta_e_20_1.5_pat1_grayscale_2_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/patm/delta_e_20_1.5_patm_grayscale_2_.png']",delta,e,20,1.5,1,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat0/delta_e_20_1.5_pat0_grayscale_3_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat1/delta_e_20_1.5_pat1_grayscale_3_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/patm/delta_e_20_1.5_patm_grayscale_3_.png']",delta,e,20,1.5,2,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat0/delta_e_20_1.5_pat0_grayscale_4_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat1/delta_e_20_1.5_pat1_grayscale_4_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/patm/delta_e_20_1.5_patm_grayscale_4_.png']",delta,e,20,1.5,3,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat0/delta_e_20_1.5_pat0_grayscale_5_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat1/delta_e_20_1.5_pat1_grayscale_5_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/patm/delta_e_20_1.5_patm_grayscale_5_.png']",delta,e,20,1.5,4,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat0/delta_e_20_1.5_pat0_grayscale_6_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat1/delta_e_20_1.5_pat1_grayscale_6_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/patm/delta_e_20_1.5_patm_grayscale_6_.png']",delta,e,20,1.5,5,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat0/delta_e_20_1.5_pat0_grayscale_7_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat1/delta_e_20_1.5_pat1_grayscale_7_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/patm/delta_e_20_1.5_patm_grayscale_7_.png']",delta,e,20,1.5,6,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat0/delta_e_20_1.5_pat0_grayscale_8_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat1/delta_e_20_1.5_pat1_grayscale_8_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/patm/delta_e_20_1.5_patm_grayscale_8_.png']",delta,e,20,1.5,7,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat0/delta_e_20_1.5_pat0_grayscale_9_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat1/delta_e_20_1.5_pat1_grayscale_9_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/patm/delta_e_20_1.5_patm_grayscale_9_.png']",delta,e,20,1.5,8,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat0/delta_e_20_1.5_pat0_grayscale_10_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/pat1/delta_e_20_1.5_pat1_grayscale_10_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.5/patm/delta_e_20_1.5_patm_grayscale_10_.png']",delta,e,20,1.5,9,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat0/delta_e_20_1.3_pat0_grayscale_1_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat1/delta_e_20_1.3_pat1_grayscale_1_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/patm/delta_e_20_1.3_patm_grayscale_1_.png']",delta,e,20,1.3,0,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat0/delta_e_20_1.3_pat0_grayscale_2_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat1/delta_e_20_1.3_pat1_grayscale_2_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/patm/delta_e_20_1.3_patm_grayscale_2_.png']",delta,e,20,1.3,1,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat0/delta_e_20_1.3_pat0_grayscale_3_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat1/delta_e_20_1.3_pat1_grayscale_3_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/patm/delta_e_20_1.3_patm_grayscale_3_.png']",delta,e,20,1.3,2,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat0/delta_e_20_1.3_pat0_grayscale_4_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat1/delta_e_20_1.3_pat1_grayscale_4_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/patm/delta_e_20_1.3_patm_grayscale_4_.png']",delta,e,20,1.3,3,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat0/delta_e_20_1.3_pat0_grayscale_5_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat1/delta_e_20_1.3_pat1_grayscale_5_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/patm/delta_e_20_1.3_patm_grayscale_5_.png']",delta,e,20,1.3,4,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat0/delta_e_20_1.3_pat0_grayscale_6_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat1/delta_e_20_1.3_pat1_grayscale_6_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/patm/delta_e_20_1.3_patm_grayscale_6_.png']",delta,e,20,1.3,5,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat0/delta_e_20_1.3_pat0_grayscale_7_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat1/delta_e_20_1.3_pat1_grayscale_7_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/patm/delta_e_20_1.3_patm_grayscale_7_.png']",delta,e,20,1.3,6,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat0/delta_e_20_1.3_pat0_grayscale_8_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat1/delta_e_20_1.3_pat1_grayscale_8_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/patm/delta_e_20_1.3_patm_grayscale_8_.png']",delta,e,20,1.3,7,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat0/delta_e_20_1.3_pat0_grayscale_9_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat1/delta_e_20_1.3_pat1_grayscale_9_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/patm/delta_e_20_1.3_patm_grayscale_9_.png']",delta,e,20,1.3,8,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat0/delta_e_20_1.3_pat0_grayscale_10_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/pat1/delta_e_20_1.3_pat1_grayscale_10_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/20/1.3/patm/delta_e_20_1.3_patm_grayscale_10_.png']",delta,e,20,1.3,9,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/40/1.5/pat0/delta_e_40_1.5_pat0_grayscale_1_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/40/1.5/pat1/delta_e_40_1.5_pat1_grayscale_1_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/40/1.5/patm/delta_e_40_1.5_patm_grayscale_1_.png']",delta,e,40,1.5,0,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/40/1.5/pat0/delta_e_40_1.5_pat0_grayscale_2_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/40/1.5/pat1/delta_e_40_1.5_pat1_grayscale_2_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/40/1.5/patm/delta_e_40_1.5_patm_grayscale_2_.png']",delta,e,40,1.5,1,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/40/1.5/pat0/delta_e_40_1.5_pat0_grayscale_3_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/40/1.5/pat1/delta_e_40_1.5_pat1_grayscale_3_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/40/1.5/patm/delta_e_40_1.5_patm_grayscale_3_.png']",delta,e,40,1.5,2,0
"['/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/40/1.5/pat0/delta_e_40_1.5_pat0_grayscale_4_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/40/1.5/pat1/delta_e_40_1.5_pat1_grayscale_4_.png', '/home/sunyf23/Work_station/PUF_Phenotype/Latency-DRAM-PUF-Dataset/grayscale_images/delta/e/40/1.5/patm/delta_e_40_1.5_patm_grayscale_4_.png']",delta,e,40,1.5,3,0
